id,slug,name,city,district,query,oldLatitude,oldLongitude,oldCoordinateSource,newLatitude,newLongitude,newCoordinateSource,formattedAddress,resultType,confidence,status,errorCode,errorMessage
13104228-1c0c-496b-82b9-5dea1d1e2b7b,adalar,Adalar,İstanbul,Adalar,"Adalar, İstanbul, Türkiye",,,,40.8763772,29.095444,Google Maps (otomatik),"Adalar/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
d20d199e-3f81-41b6-a8a5-7d77fb49adf0,il-adana,Adana,Adana,,"Adana, Türkiye",,,,36.9914194,35.3308285,Google Maps (otomatik),"Adana, Reşatbey, Seyhan/Adana, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
9be60135-22c8-454c-a871-9abf1efc12b6,il-adiyaman,Adıyaman,Adıyaman,,"Adıyaman, Türkiye",,,,37.76365,38.2772592,Google Maps (otomatik),"Adıyaman, Adıyaman Merkez/Adıyaman, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
f9e1a356-5df9-40a9-b2a7-6a222fca51ec,il-afyonkarahisar,Afyonkarahisar,Afyonkarahisar,,"Afyonkarahisar, Türkiye",,,,38.7568852,30.5387038,Google Maps (otomatik),"Afyonkarahisar, Afyonkarahisar Merkez/Afyonkarahisar, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
3efa426e-798e-422f-abac-6d45243f6cc5,il-aksaray,Aksaray,Aksaray,,"Aksaray, Türkiye",,,,38.368626,34.0297,Google Maps (otomatik),"Aksaray, Aksaray Merkez/Aksaray, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
5db44657-1d4c-4663-b3b2-030b16ad6ea0,il-amasya,Amasya,Amasya,,"Amasya, Türkiye",,,,40.656455,35.837347,Google Maps (otomatik),"Amasya, Amasya Merkez/Amasya, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
20b7d22d-7d7a-4c18-9800-da2a57e9fd4b,il-ankara,Ankara,Ankara,,"Ankara, Türkiye",,,,39.9333635,32.8597419,Google Maps (otomatik),"Ankara, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
d52efd5f-f97d-4752-b610-cd18200b85ea,il-antalya,Antalya,Antalya,,"Antalya, Türkiye",,,,36.8968908,30.7133233,Google Maps (otomatik),"Antalya, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
9a4dc32d-b83d-4b7d-b81c-620fb743157a,il-ardahan,Ardahan,Ardahan,,"Ardahan, Türkiye",,,,41.11295,42.70227999999999,Google Maps (otomatik),"Ardahan, Ardahan Merkez/Ardahan, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
594eb7bb-df98-4947-a0b7-5343d9e8e4a2,arnavutkoy,Arnavutköy,İstanbul,Arnavutköy,"Arnavutköy, İstanbul, Türkiye",,,,41.2131248,28.7198004,Google Maps (otomatik),"Arnavutköy/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
793b44b3-e9a9-4fa0-b781-e1503c193019,il-artvin,Artvin,Artvin,,"Artvin, Türkiye",,,,41.180937,41.820819,Google Maps (otomatik),"Artvin, Artvin Merkez/Artvin, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
0731cfc4-7135-45e8-92a6-2d924a3f27e8,atasehir,Ataşehir,İstanbul,Ataşehir,"Ataşehir, İstanbul, Türkiye",,,,40.9874178,29.1216176,Google Maps (otomatik),"Ataşehir/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
0a9d4cd6-95e3-4018-b78e-76e4649eb1d3,avcilar,Avcılar,İstanbul,Avcılar,"Avcılar, İstanbul, Türkiye",,,,41.01534789999999,28.7314618,Google Maps (otomatik),"Avcılar/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
32a3dc22-ec21-4359-8221-c6958411f4bf,ayasofya,Ayasofya,İstanbul,Fatih,"Ayasofya, Fatih, İstanbul, Türkiye",,,,41.008583,28.980175,Google Maps (otomatik),"Sultan Ahmet, Ayasofya Meydanı No:1, 34122 Fatih/İstanbul, Türkiye",ROOFTOP,HIGH,UPDATED,,
ec5e59e7-3351-47c7-9d20-93aaac7b22b9,il-aydin,Aydın,Aydın,,"Aydın, Türkiye",,,,37.8380162,27.8455601,Google Maps (otomatik),"Aydın, Efeler/Aydın, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
e15b06d2-5e1d-4993-ae62-35fbe1aee98a,il-agri,Ağrı,Ağrı,,"Ağrı, Türkiye",,,,39.719074,43.050591,Google Maps (otomatik),"Ağrı, Ağrı Merkez/Ağrı, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
452cec94-e779-4d2d-a8cd-73120192185b,bahcelievler,Bahçelievler,İstanbul,Bahçelievler,"Bahçelievler, İstanbul, Türkiye",,,,41.008545,28.82472199999999,Google Maps (otomatik),"Bahçelievler/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
